PK_LOCALIDADE;region_name;region_code;city;country;state;zip_code
3f41fbf992f906e93c5135a5425243b4d8b55100abba5e81922ea1b5a979eadf;Western;1;Redding;US;CA;96002
78a17b0a3ef61f51e98aed78bf827173e59d08954529de2fa6a95c0fc8a07c5b;Central;4;New Castle;US;IN;47362
88d53a33f9397fdaa9a431fff4a6b0f592979f681c42caf33ce5197677421df8;Canada;0;Montreal;CA;QU;H3S 2T4
06aabc0d62727557b4466b92b2bd8f2c8b306f633e8ba935cb429f3c0b5848a5;Southern;2;North Little Rock;US;AR;72113
87f954e6f2b251dcdb5d87052cf923f89a9d8b5f26cc48d3733a67242dc35210;Western;1;Bozeman;US;MT;59715
93a4a101f458be9592eb58f16f26ead27d4a0bb7a0eb523a2fac87ffb5a6db8e;International;5;San Jose;UK;Não informado;0
ae35e2b1f7962f01fe6a194454ae6d68769d99ceee4872dbcc6cc4578f367102;Western;1;Rancho Cordova;US;CA;95742
0be21c681fdac1cecfb89f481cb0a8e807f510b595aec54d0be9ff1cd31f62ea;Central;4;Crestwood;US;IL;60445-2205
28ae931fe65ed45a1d2cc63c6db93ead811485fd0be1f2f2fe51f04a499ceb9e;Central;4;Watervliet;US;MI;49098
8f88a0bc492c851fea63cc7a6851eeebee44c2f815d7a65bf4106178056d99b1;International;5;Songtan SI;AU;Não informado;459-050
34947ac3d73b785181f96b8378715bb6e1a279606a1d949e35eb055b551b15ab;Western;1;Rancho Cordova;US;CA;95742-7316
afe3c513746432ccfe76be83c553c475bcefd690ccf496de37cfe8f4f9238669;Central;4;Milwaukie;US;WI;53225
e0cb07c57676f067f5aa9d1c67fdae9c8894a6cd366717474b4a3edadf9109b1;Southern;2;Birmingham;US;AL;35244
b7dc96346bc49f5e77559f95a96314694597b6d9fb2f64b4f6318b917965f629;Western;1;Tumwater;US;WA;98512
e2d680314406b0b50b1f1b9d9cbd2d61578dcebabdcc768a36ad8ad08ed4de7a;Western;1;San Marcos;US;CA;92069
cb7f96192cc9024af75c0599fd6aa025b720434582202fc0d88ef6fbe2b3ad13;Western;1;Sacramento;US;CA;95851-1297
749c70a950a5a0434c322dcf643c3c7d4c3bcae4f1ef0eac3da914809e38da3a;International;5;Asuncion;UK;Não informado;33126-1214
008fdd966e9e62dfcbf95abece0d9eba596e8d9973387acb91e849c05aa63323;International;5;1980 Santiago;UK;Não informado;0
280b889cb3920896e461ccaad5b4e6685e1019151da7f58b7339b9a84366598d;International;5;Linares (Jaen);UK;Não informado;23700
ef0d46f422920a431eb5abf7c6bc840bb52ca4215e732bdc38500dad8d8c34d1;Western;1;Portland;US;OR;97294
9224ae1ed1ac6d11bbaba0fabd4df74029c8b9760f99304c3964c4ee44d16869;Central;4;Indianapolis;US;IN;46227
57365769831494d281c1bcb11afcaa0037f5240c81bdcc8d2c74337f4016597b;Canada;0;Surrey;CA;BC;V35-6J8
7fca12195547c422ea40952360ee203890334e322380e6e2c1df254f59b502a8;Central;4;Wooster;US;OH;44691
f7a0702f607a1272985873a4de9627d0e20d0eb3fa8d757220778b6692f35090;Western;1;Enumclaw;US;WA;98022
74527c8ac50cba2dfe877a580ca03cff7954b70fd1ec11a7f748a2f47e489e77;Southern;2;Baton Rouge;US;LA;70815
57b1ba94190db4628f2e3570525b5b0db90df6f03cda50c61fdd79a955d350cb;Canada;0;Calgary;CA;AB;T2E 6Z2
b7a0e55cab8f126adc6435e2ffcb618743f4b8c65b65127d2071bd27b242ff26;Central;4;Thief River Falls;US;MN;56701
3881ec1fbf1bec88ee015e24c13817be53fb0f009e25f7e6873dff5f66b02590;Central;4;Dover;US;OH;44622
e3761527d19d48e33585d136439231bc6a900d42667e42d626a1b829d85ea511;Southern;2;Cleveland;US;TX;77327
cc937cda289eab555d2299c20a39d8317cb990a51a96a34d7508ae722b81aa89;Western;1;Eugene;US;OR;97402-3519
b927c65fb7bca2dc80c6e4371807d67da1a6abbe9b3f2bb5dace2b133be3350b;Northeast;3;Wells;US;ME;4090
2ceefc22a2c6ce0e2a7373de9d5f56fb36ed208acb46b134c37aacdbcedea36b;International;5;Sao Paulo;UK;Não informado;5052
7b074351217653e03e6585243e1791834d67cf44c711af4d912f4d057b2eb99b;Central;4;Sioux Center;US;IA;51250
6014c64bdfa5b8c1ba33be6caed56d7d02bfac146731dc0dfe76e00cea1bd372;Western;1;Colorado Springs;US;CO;80907
585086ba706ed7b5ec141b5528aec14550c7067214bd5e37b63a58b05b141584;Western;1;Fresno;US;CA;93706
41a1216ef0d8eed3cf2715210a921a22bcd97a9184df4b988e395c3f84feec02;Western;1;Portland;US;OR;97217
7a9009c3b3895b535e1ec4ac588e4724f48343bac108ce39614590c136394bf7;Central;4;Shawano;US;WI;54166
ed9b3a940f9a63bf22c0d9c1ed2b32e669e05c7426904d28e2a49ab32ccf27b1;International;5;Seoul;AU;Não informado;135-260
415a041ce4a72ed30f580da0d53931d7bbd77d986f14f5451b584ebbfbaf8a34;Western;1;Hayward;US;CA;94540
db3ca822664ead22ee25cae952579ae036e1aebccacf77c0527a44c8d12d3f7d;International;5;Bogota;UK;Não informado;0
0686a0ba9dd2c046003e18f1c2bed7c693886e854b52806cf186137b30350f42;Southern;2;Chattanooga;US;TN;37407
8ab1bc1e3ff44a60c8e744489f5bbbe5f9aedfe5f417cca9186a0328516362ed;Southern;2;Greenville;US;SC;29605
95854519659e2345fb7a1d3c524be834f33e4792f0db62d2ee8886cf07d7e982;Central;4;Raleigh;US;IL;62977-0068
c5cde48a442d4d4be2f04da90fbb9465f34386fc4c9a97fc1a40d3c2b7e166cc;Northeast;3;Petersburg;US;VA;23803
604f24adc6994893f372631e5bb7be4040af97eb746e85229fa96f47ae3dcf4a;International;5;4100 Porto;UK;Não informado;0
673a449587677939d9aa9bbcff17b31fb9ac9b8c813340f4f4939d97757c697e;Southern;2;Shelby;US;NC;28152
a6b49670989ed0481f7ce613c542c9abf1f26d7c024fd2699b0c295d168f160c;International;5;EE 0026 Tallinn;UK;Não informado;0
ed6545383e870530fde886f09fc9ebd954272c7973c149130401a9f6dd7f645d;Western;1;Anchorage;US;AK;99501
a6c63ec01ec81c76c720fb376db56e622d48ccb28cc51860244159c50118104e;Central;4;Pocahontas;US;IA;50574
9dfb0396a5bc679de6dc2f1664987f74ad16460e3be05d50b1da612f4e66f774;Southern;2;Meridian;US;MS;39307
7744f3ceae238932e393bfb88046a6f5a44e699f901e91318ca26265a390dd3e;Central;4;Fairmount;US;IN;46928
48361102d8765fe3029dce97ab2c82b2d98b3fc77ebdc4000845bb281c3ceba6;Central;4;Lennox;US;SD;57039
cfe4cbca401664cd02752e2464c91e4d9a442220a32d99c4b51eb63f36ae4e84;Northeast;3;Milesburg;US;PA;16853
71036e1bc076f5a251a366e0de869b7ee8e30a47a33f83c370742c77b990a44d;Northeast;3;Milton;US;PA;17847
6ea8d3817c15375a1eece218a82356b1ddc5167a44b2e9e92cda9e46441dad26;Southern;2;El Paso;US;TX;79915
668c56743d07950a30700e8d160dff8e2687ec27c08157ed0ed74ff11164142e;Southern;2;Amarillo;US;TX;79107
f26205076623bdd7bd011bdafc291331d33a82d4cefd203daf9db1227b3bd93c;Southern;2;Nashville;US;TN;37206
dfd24483826474d98bf2d26342cad7e33e68ff111f562d237ba9128d7a000adc;Central;4;South Bend;US;IN;46634-7005
2ff87c32417b7f23855db76c45740c0f482c73ff0b7424d517345bfbcff4d23e;International;5;Hamamatsu City;AU;Não informado;432-8611
4abdc27d93263635687d67c2a546f79180d7296cbcaebaf3d50eee1157ce1dc0;Southern;2;Statesville;US;NC;28625
c721ddcbe9a66e1027ca6bd3069e28f82152294da131ec1b54e1ca29f06c8e39;International;5;Guadalajara Jal Mexico;IR;Não informado;44530
7553e8d51e3eb4d06d7ee6beb2ed102e4e20f7deb917544edece414b1df3123e;Southern;2;Tampa;US;FL;33604
5945eed1f71a38dadb448236303e025e311fffa59e92f20d661253aafc742423;Central;4;Oslo;US;MN;56744
37718df49262d44acbe7d546da5c610a5e0bb534b90b4dc82646ca6215b171f6;Western;1;Phoenix;US;AZ;85034
78fe5f7361e1e70125f6433616977ac11dbcb5f4cf46c2d83aaf95e8b4dc3b7d;Northeast;3;Somerset;US;NJ;08873-6750
915e4e9ba6f6d2e802ef747c49781fdb7d02c885eb5aef702e6e79f7a9daa0c8;Canada;0;Winnipeg;CA;MB;R3C 3B3
36bccc620534df7e91227f450c6e0d1f6ec1f78c57f1c862ce59a5ade4b64b1c;Southern;2;Augusta;US;GA;30917-4658
76b621340bb175eba28dfea73a99031fda7aef0df1f57664a067b9bf41fb7e6b;Central;4;McHenry;US;IL;60050
86c5a294000fab89c89334e11a849e50eb6e3b13f7dd12d60a72ce9bba0a850e;Central;4;St Joseph;US;MO;64507-9799
f6fc5c7e7a04c5e27689fb892124422f65d75191b6f143e01d931be1ca78c609;Central;4;Cass City;US;MI;48726
fa65305df6b13f373a9245400871ddce4f28ec15d7348dcf23c440e6725cd527;Southern;2;Louisville;US;KY;40258
9372733c2943cb44d7992e2e992ba4d7907edab4dcea8708d79cf7de68598573;Western;1;Salt Lake City;US;UT;84126
e38cf327fe4593f22a632b6f3664056f41a73e0faf0e26b042a5d5f2f37ab796;Canada;0;Regina;CA;SK;S4N 4X9
9b9e65f5d29406e2384ddf50e0a518fca8fa10a42f745cc6aedf27fe2b90f318;Southern;2;Olive Branch;US;MS;38654-3703
