PK_TEMPO;invoice_date;Ano;Mes;Dia
d0f22138636b0b501e8776803b923ea1cd205efe3c5aa830d1f0a6762392a74f;08/06/2017;2017;06;08
12e24210a115a6810f2f19c825761a83a8b76371f2d19d758ce8d2b6d9c1e5a4;06/03/2018;2018;03;06
5e469c1ea3d5342cc1b2c0eea013b2d63aa816fd1554b97f5d083e592f3160ed;04/09/2018;2018;09;04
0ed441af230d329284bda34fa2f0c8f60e2c2bb71df2fe5eb4935466b469b278;11/03/2017;2017;03;11
5703d273dc5507101d4191cee77203a023ad36f59ebe7104778c3ed61b24d44f;21/03/2018;2018;03;21
a4bb3f35e4422b716489388ae985d908257aa03297c328d59ce6fa344089dc1b;12/08/2018;2018;08;12
befa48487a8162b040654d34002cf56aa1866db607a4fd6f51597f6435e50d0b;17/10/2018;2018;10;17
3a9de77c95cc5f3899ab126f6ad3932342d3b89adcc80a6ce24e780b7dcd0938;28/01/2019;2019;01;28
71b64e747b8fd1f40168c64045cf7c8e0391a1e39f57dcfef9c7bcf443e191d3;30/07/2017;2017;07;30
0160105f205375e8a7af035b7ee599bb6404cf1219e27982287856060ba10f66;14/07/2017;2017;07;14
87a1286ebc12cd11960b74c73518452986e1aee8a34d1d33a03c90c40207688b;25/12/2018;2018;12;25
eb485ebb5e5838de433657cbd3c814346fb2da0ae41c3dbf2ffd57cdb1c42b37;27/08/2018;2018;08;27
e9f95d3720ed8c6f4cab40101db76eefa3e521ddcd5c3bf5ffdb7cb8d7d21b34;29/07/2017;2017;07;29
bcaed8c24cebded2c11adb16b27118a68079ceca7cf98659b15d8fd427dddf0a;28/01/2017;2017;01;28
70999f264b70c933a3f19d01d80844722df2e2b77dabf45360d4bd8740f14f74;13/02/2018;2018;02;13
5b036a42cf7fc135d2c7fb136384569b5a45bcf96ae4617082480171168dc739;22/02/2017;2017;02;22
ac5b13d68384d3d2c2c9597467acae56ca5554d7176cd0b723c382781fcc15e2;26/03/2018;2018;03;26
96dc85e5364fae8e13b1eabbb733aed9be19c4269977ec1db5e8bdd83666d243;15/11/2017;2017;11;15
6f43549d68b31eec9a69091bd7a8966a3363422a1de309515701ad4f4ce38a0a;30/06/2018;2018;06;30
9dca3e22df2b8c85be552fb3588ccd91b5dbabca1642b1f6c02db06da42ce240;04/01/2018;2018;01;04
a1f68671727deed7bed3b70d9b609481ff7362aa905c2af720ecc1a8e36cb7b9;10/02/2017;2017;02;10
fb26af7075453e02be31adc61abf6b227da6464d8e3ca514270b0d11d23e02c3;28/10/2018;2018;10;28
8d7aad86924c7ef719d323abc453b6143c96b5336bf1a84501f42544f7c64fe0;24/07/2018;2018;07;24
e299a1e7d0d8b95d391689e3ad0486a3b51a597a843351f6071b63a9f2346468;11/08/2018;2018;08;11
